PosScore NegScore SynsetTerms
0.25 0.0 dissident
0.25 0.0 parturiente
0.5 0.0 absolu
0.75 0.0 direct
0.5 0.5 "implicite aveugle"
0.5 0.125 vivant
0.25 0.5 "relatif comparatif"
0.375 0.0 absorbant
0.0 0.75 "assimilatoire assimilatif assimilant"
0.0 0.5 "non absorbant non absorbant"
0.0 0.25 "chimiosorbant chimiosorbant"
0.0 0.25 "non adsorbant non adsorbant"
0.5 0.0 résorbable
0.25 0.0 "adsorbant adsorbable"
0.0 0.5 "crapuleux crapuleux"
0.375 0.0 "notionnel idéationnel conceptuel"
0.375 0.25 conceptuel
0.125 0.125 "idéologique idéologique"
0.625 0.25 béton
0.0 0.25 abondant
0.0 0.25 "en abondance"
0.125 0.0 "riche abondant abondant copieux copieux"
0.25 0.625 facile
0.0 0.25 "tapageuse abondante luxuriante luxuriante exubérante"
0.0 0.5 épais
0.125 0.375 long
0.125 0.5 "sévissant pléthorique surabondant"
0.0 0.25 copieux
0.0 0.25 rang
0.125 0.5 surabondant
0.0 0.375 torrentiel
0.125 0.5 verdoyant
0.0 0.25 rare
0.0 0.875 rare
0.0 0.625 serré
0.0 0.75 battu
0.375 0.25 "sans abus"
0.625 0.0 acceptable
0.25 0.0 bancable
0.25 0.625 "irréprochable irréprochable"
0.0 0.5 irréprochable
0.125 0.375 inacceptable
0.0 0.375 "répréhensible répréhensible"
0.625 0.0 accessible
0.375 0.0 "joignable accessible"
0.125 0.125 "prêt à l'emploi"
0.5 0.125 "inaccessible inaccessible"
0.125 0.0 "arrière-pays éloigné"
0.125 0.25 "sans chemin sans chemin"
0.5 0.0 "accommodant accommodant"
0.75 0.0 "obligeant complaisant"
0.25 0.25 "désobligeant désobligeant"
0.125 0.25 "non coopératif désobligeant"
0.5 0.0 exact
0.625 0.0 "fidèle proche"
0.5 0.0 chirurgical
0.125 0.0 "vrai dead_on_target"
0.875 0.0 "droit véridique"
0.125 0.625 inexacte
0.125 0.75 "faux incorrect défectueux"
0.0 0.5 infidèle
0.0 0.625 "large_de_la_marque large"
0.125 0.0 habitué
0.0 0.75 inhabituel
0.0 0.125 Nouveau
0.0 0.125 inutilisé
0.0 0.125 acide
0.0 0.375 acide
